gid_1,cgfr_10
MWI.5_1,0.5971
MWI.6_1,0.5153
MWI.7_1,0.6499
MWI.8_1,0.5275
MWI.9_1,0.5433
MYS.10_1,0.4067
MYS.11_1,0.4265
MYS.12_1,0.3899
MYS.13_1,0.4931
MYS.14_1,0.4568
MYS.15_1,0.4178
MYS.16_1,0.3686
MYS.1_1,0.4259
MYS.2_1,0.4016
MYS.3_1,0.3944
MYS.4_1,0.4175
MYS.5_1,0.4621
MYS.6_1,0.4272
MYS.7_1,0.4244
MYS.8_1,0.4001
MYS.9_1,0.4393
NER.1_1,0.3971
NER.2_1,0.3432
NER.3_1,0.3471
NER.4_1,0.3731
NER.5_1,0.3493
NER.6_1,0.4137
NER.7_1,0.4423
NER.8_1,0.3991
NGA.10_1,0.6435
NGA.11_1,0.6152
NGA.12_1,0.6541
NGA.13_1,0.7074
NGA.14_1,0.6827
NGA.15_1,0.6121
NGA.16_1,0.3837
NGA.17_1,0.7459
NGA.18_1,0.2734
NGA.19_1,0.4933
NGA.1_1,0.677
NGA.20_1,0.306
NGA.21_1,0.3051
NGA.22_1,0.345
NGA.23_1,0.6997
NGA.24_1,0.5847
NGA.25_1,0.6533
NGA.26_1,0.5086
NGA.27_1,0.505
NGA.28_1,0.673
NGA.29_1,0.6988
NGA.2_1,0.5296
NGA.30_1,0.6593
NGA.31_1,0.6484
NGA.32_1,0.6533
NGA.33_1,0.7213
NGA.34_1,0.29
NGA.35_1,0.5419
NGA.36_1,0.2806
NGA.37_1,0.3329
NGA.3_1,0.8011
NGA.4_1,0.6743
NGA.5_1,0.3393
NGA.6_1,0.7077
NGA.7_1,0.5679
NGA.8_1,0.3805
NGA.9_1,0.7749
NIC.11_1,0.6944
NIC.12_1,0.7072
NIC.13_1,0.7325
NIC.14_1,0.7302
NIC.15_1,0.7
NIC.16_1,0.7147
NIC.17_1,0.7213
NIC.18_1,0.6956
NIC.3_1,0.697
NIC.4_1,0.7143
NIC.5_1,0.6989
NIC.6_1,0.726
NIC.7_1,0.6981
NIC.8_1,0.728
NIC.9_1,0.7096
PAK.2_1,0.1747
PAK.3_1,0.173
PAK.4_1,0.131
PAK.5_1,0.1691
PAK.7_1,0.1536
PAK.8_1,0.1865
PER.10_1,0.718
PER.11_1,0.6847
PER.12_1,0.7177
PER.13_1,0.6957
PER.14_1,0.6835
PER.16_1,0.6756
PER.17_1,0.7041
PER.18_1,0.6499
PER.19_1,0.6337
PER.1_1,0.6924
PER.20_1,0.7077
PER.21_1,0.6609
PER.22_1,0.6494
PER.23_1,0.6971
PER.24_1,0.6488
PER.25_1,0.664
PER.26_1,0.6916
PER.2_1,0.6892
PER.3_1,0.6957
PER.4_1,0.683
PER.5_1,0.6855
PER.6_1,0.6873
PER.7_1,0.7083
PER.8_1,0.691
PER.9_1,0.6813
PHL.18_1,0.5943
PHL.47_1,0.6114
PRY.10_1,0.7546
PRY.11_1,0.7282
PRY.12_1,0.724
PRY.13_1,0.6998
PRY.14_1,0.7497
PRY.15_1,0.7179
PRY.16_1,0.7676
PRY.17_1,0.6777
PRY.18_1,0.7558
PRY.1_1,0.6619
PRY.2_1,0.644
PRY.3_1,0.6893
PRY.4_1,0.661
PRY.5_1,0.6385
PRY.6_1,0.696
PRY.7_1,0.7538
PRY.8_1,0.6784
PRY.9_1,0.7192
RWA.5_1,0.7642
SEN.10_1,0.4917
SEN.11_1,0.4109
SEN.12_1,0.4474
SEN.13_1,0.4584
SEN.14_1,0.465
SEN.1_1,0.489
SEN.2_1,0.4357
SEN.3_1,0.4581
SEN.4_1,0.4154
SEN.5_1,0.4875
SEN.6_1,0.4427
SEN.7_1,0.4459
SEN.8_1,0.433
SEN.9_1,0.5403
SLB.10_1,0.5781
SLB.1_1,0.5564
SLB.7_1,0.576
SLE.1_1,0.5818
SLE.2_1,0.5404
SLE.3_1,0.5756
SLE.4_1,0.5805
SLV.10_1,0.7311
SLV.11_1,0.659
SLV.12_1,0.6967
SLV.13_1,0.7124
SLV.14_1,0.6847
SLV.1_1,0.7077
SLV.2_1,0.7113
SLV.3_1,0.6699
SLV.4_1,0.7307
SLV.5_1,0.7177
SLV.6_1,0.706
SLV.7_1,0.6653
SLV.8_1,0.7038
SLV.9_1,0.6894
SOM.11_1,0.5558
SOM.13_1,0.521
SOM.15_1,0.5628
SOM.16_1,0.5065
SOM.17_1,0.4204
SOM.18_1,0.5314
SOM.1_1,0.5196
SOM.3_1,0.5788
SOM.4_1,0.4996
SOM.5_1,0.5337
SOM.6_1,0.6168
SOM.7_1,0.612
SOM.8_1,0.5462
SSD.1_1,0.4723
SSD.7_1,0.3843
STP.1_1,0.6806
STP.2_1,0.7082
SUR.10_1,0.5956
SUR.1_1,0.5408
SUR.2_1,0.5806
SUR.4_1,0.6074
SUR.5_1,0.6315
SUR.6_1,0.6007
SUR.7_1,0.6307
SUR.8_1,0.624
SUR.9_1,0.5719
SWZ.1_1,0.6756
SWZ.2_1,0.6945
SWZ.3_1,0.7018
SWZ.4_1,0.6981
TCD.11_1,0.4595
TCD.12_1,0.4466
TCD.13_1,0.4146
TCD.14_1,0.3457
TCD.15_1,0.4412
TCD.16_1,0.2556
TCD.17_1,0.283
TCD.19_1,0.208
TCD.20_1,0.3505
TCD.2_1,0.3534
TCD.7_1,0.3411
TCD.9_1,0.2854
TGO.1_1,0.5328
TGO.2_1,0.5274
TGO.3_1,0.5521
TGO.4_1,0.5832
TGO.5_1,0.4284
THA.10_1,0.5228
THA.11_1,0.5281
THA.12_1,0.5193
THA.18_1,0.5393
THA.19_1,0.517
THA.1_1,0.5516
THA.20_1,0.517
THA.21_1,0.5431
THA.22_1,0.5291
THA.23_1,0.5183
THA.26_1,0.5318
THA.27_1,0.5339
THA.28_1,0.5445
THA.29_1,0.5113
THA.30_1,0.5506
THA.31_1,0.5449
THA.32_1,0.5297
THA.33_1,0.4772
THA.34_1,0.5716
THA.35_1,0.5647
THA.36_1,0.5357
THA.38_1,0.4612
THA.3_1,0.5578
THA.45_1,0.5452
THA.48_1,0.5281
THA.49_1,0.5226
