gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male,fb_pntr_18p_fm_ratio
IND.7_1,India,0.255475711007567,0.472100418368753,0.638,0.838,0.84,0.544,0.647,-0.14476363372466888,-0.10998871858820868,0.111755418802885,0.348064875306523,0.318401360166836
IND.8_1,India,0.31095642957458197,0.481953819228436,0.638,0.838,0.847,0.559,0.66,0.4041151843476497,0.7121210336400926,0.768032470592013,1,0.285662567466271
IND.9_1,India,0.429670030665748,0.667545852868972,0.638,0.838,0.872,0.608,0.698,1.3375799346737385,2.078593062573939,0.005116753832988,0.0032730248751618,0.899322014975898
IND.10_1,India,0.7038947896789289,0.898574717254822,0.638,0.838,0.899,0.706,0.786,0.04544863910307344,0.06139096840552173,0.30865757929245,0.778882861491356,0.391025781386387
IND.11_1,India,0.272403825426411,0.499195995801454,0.638,0.838,0.84,0.575,0.684,-0.07920083511116156,0.02871228392516768,0.150203788682365,0.514123947445312,0.272181283554473
IND.12_1,India,0.470396347507512,0.677381095573661,0.638,0.838,0.86,0.632,0.735,0.11434577334009348,0.2858206937547277,0.193065644922234,0.632198991908568,0.27606380037218
IND.13_1,India,0.46100562452041305,0.720705200406507,0.638,0.838,0.881,0.653,0.741,-0.24001466824076703,-0.18000018948975585,0.282965225558097,0.614939848068904,0.459367357237448
IND.15_1,India,0.305217431647757,0.548521073631787,0.638,0.838,0.817,0.521,0.638,-0.0822387947792518,0.1287903986072499,0.151194243648552,0.415918503424944,0.343274350928876
IND.16_1,India,0.327059094192335,0.581541390238451,0.638,0.838,0.864,0.612,0.708,-0.07386044953038699,0.01372163038051448,0.147914442982355,0.424585726668142,0.339579554752871
IND.17_1,India,0.583990642978044,0.798943610970118,0.638,0.838,0.921,0.715,0.777,-0.13657914766612503,0.4753460637305968,0.180577855721743,0.442454392919101,0.462444332929365
IND.18_1,India,0.497839548503346,0.613294484377005,0.638,0.838,0.897,0.671,0.749,-0.04726189987703501,0.8089984135767871,0.0505909578964459,0.228794833301368,0.202146334594497
IND.19_1,India,0.261088009751157,0.490978448566061,0.638,0.838,0.822,0.529,0.643,-0.12855203876311613,-0.0616939769894021,0.102061667103875,0.343410704485435,0.276894512922449
IND.20_1,India,0.3694421482220821,0.617772638099574,0.638,0.838,0.861,0.63,0.731,-0.08424202305962829,0.05897300037805628,0.149758744723476,0.466162546735161,0.302841434735698
IND.21_1,India,0.41458387783086104,0.598758698913701,0.638,0.838,0.863,0.621,0.719,-0.2251163110425115,-0.16386235917152167,0.279001538980643,0.4934790160859,0.558791133376609
IND.22_1,India,0.31938023022684897,0.807284782929951,0.638,0.838,0.902,0.601,0.667,-0.2256018548382984,-0.1485802217510711,0.240553562967142,0.434071986500073,0.545433249138436
IND.23_1,India,0.6638917412269809,0.857395480983554,0.638,0.838,0.887,0.64,0.721,-0.2593885428639066,-0.2461774937334434,0.422529069715923,0.560128206238244,0.725134800387706
IND.24_1,India,0.460985429674745,0.762175837541695,0.638,0.838,0.887,0.622,0.702,-0.2323342603998577,-0.194092248520862,0.261306679792687,0.416830287791999,0.567334694038513
IND.25_1,India,0.6153685661442401,0.746931822215276,0.638,0.838,0.891,0.681,0.764,4.929925997015098,10.850649025737544,0.471848861905846,1,0.376275830789503
IND.26_1,India,0.234937529048692,0.488741205939845,0.638,0.838,0.837,0.536,0.641,-0.1547493984014886,-0.03904098419359968,0.126673805112796,0.337896272381899,0.366145985834023
IND.27_1,India,0.6485409739235161,0.812809714325598,0.638,0.838,0.894,0.68,0.76,0.3981399714086581,1.6425649485574358,0.400584361528183,1,0.391443954835909
IND.28_1,India,0.516605845819655,0.698219847268214,0.638,0.838,0.9,0.651,0.724,0.04733112208625315,0.23650122513186275,0.162111930196408,0.484538765495952,0.310568239276064
IND.29_1,India,0.351108752193665,0.566022321021588,0.638,0.838,0.815,0.565,0.694,-0.16112251772262406,-0.09499410891432276,0.0988107649170361,0.436586499118688,0.214435049032331
IND.30_1,India,0.741421388477432,0.985777126354561,0.638,0.838,0.897,0.657,0.732,-0.2512366176768869,-0.22016241175123744,0.596900392421116,0.829952310031344,0.599131947493808
IND.31_1,India,0.435813192375331,0.665233864246678,0.638,0.838,0.884,0.638,0.721,-0.03052488620573373,0.2453553051266989,0.103393501408187,0.352195218862262,0.296081862193961
IND.32_1,India,0.23104192734115095,0.454068385507455,0.638,0.838,0.845,0.586,0.693,-0.04274998859476819,-8.881675801853376e-4,0.107207154729768,0.426917114020112,0.250652542422433
IND.33_1,India,0.212755052147331,0.501991328670973,0.638,0.838,0.853,0.572,0.67,-0.11698387519143888,0.05489733236190174,0.241375546027705,0.460722138403742,0.500023588022376
IND.34_1,India,0.29494831769023,0.519437972991057,0.638,0.838,0.813,0.522,0.641,0.01190913886847396,0.5448080692707346,0.110087050583437,0.381746214933755,0.264620793318371
IND.35_1,India,0.436862529160453,0.620804252046417,0.638,0.838,0.859,0.614,0.715,-0.1833039070047245,-0.10162257685277312,0.221160415039927,0.577631876858064,0.377365261000482
IND.36_1,India,0.236864415540701,0.537307715745443,0.638,0.838,0.869,0.573,0.659,-0.00814012393779327,0.730609934593509,0.214303064743409,0.463526047210692,0.43368124361226
KEN.1_1,Kenya,0.29603814259899,0.820749048429622,0.601,0.948,0.948,0.577,0.609,-0.2669922351939749,-0.238682782943876,0.201461828654062,0.360434393401611,NA
KEN.2_1,Kenya,0.210206901591025,1.1474743187798,0.601,0.948,0.948,0.577,0.609,-0.2339989280310983,0.09418078546913128,0.112042484755722,0.211519279882322,NA
KEN.3_1,Kenya,0.319293263903309,0.729572135424493,0.601,0.948,0.945,0.566,0.599,-0.23317789496898103,0.2057590147103331,0.14396625158672,0.229372261286409,NA
KEN.4_1,Kenya,0.24528193043121,0.634192552501469,0.601,0.948,0.945,0.566,0.599,-0.23897345698445183,0.16122261393520984,0.0836783672524049,0.16587697326114,NA
KEN.5_1,Kenya,0.28106874301373,0.505616075893443,0.601,0.948,0.948,0.577,0.609,-0.2612163886313163,-0.14543285088789804,0.131959141741139,0.226523537452229,NA
KEN.6_1,Kenya,0.318897696946066,0.725263739372177,0.601,0.948,0.956,0.582,0.608,-0.2524355681623199,-0.1022188095598978,0.108620274852638,0.157467189944635,NA
KEN.7_1,Kenya,0.33957976709381904,0.662499913550426,0.601,0.948,0.838,0.425,0.507,-0.2679783614220702,-0.2710032460994249,0.0814220801436576,0.135476328270967,NA
KEN.8_1,Kenya,0.323157972174942,0.760260191252467,0.601,0.948,0.935,0.557,0.595,-0.25333998427348464,-0.0823652189175471,0.140103456701519,0.274681928695404,NA
KEN.9_1,Kenya,0.318574852610333,0.457516879106931,0.601,0.948,0.956,0.582,0.608,-0.26834618672705635,-0.295180801699484,0.222361624705221,0.338618108114162,NA
KEN.10_1,Kenya,0.627577027184662,0.911337008617006,0.601,0.948,0.948,0.577,0.609,-0.25752263801276565,-0.26164813454250413,0.160781590410265,0.246069833951254,NA
KEN.11_1,Kenya,0.344166287766618,1.0211075483303,0.601,0.948,0.945,0.566,0.599,-0.21054362030399243,0.3635223094089623,0.167898510343312,0.270539027341216,NA
KEN.12_1,Kenya,0.320399887886132,0.697016165198985,0.601,0.948,0.948,0.577,0.609,-0.22252637061321015,0.06983968990468407,0.177546535088156,0.290022180456572,NA
KEN.13_1,Kenya,0.638594559550041,0.88066018977403,0.601,0.948,0.964,0.615,0.638,0.04982800648346431,0.33382791154412633,0.308283978025456,0.391097085083272,NA
KEN.14_1,Kenya,0.246259509788497,0.502491232608622,0.601,0.948,0.923,0.558,0.605,-0.25094344263921586,-0.19936058414049976,0.0517097655150741,0.126651802135912,NA
KEN.15_1,Kenya,0.465304487689607,0.739715042754989,0.601,0.948,0.964,0.615,0.638,-0.22875196055599625,0.06629834935006508,0.162733343072132,0.213303710755326,NA
KEN.16_1,Kenya,0.315458009159242,0.651829819645144,0.601,0.948,0.935,0.557,0.595,-0.14376377376856267,0.647740882898425,0.193710357664151,0.341966798968205,NA
KEN.17_1,Kenya,0.32768454179414197,0.715587172322564,0.601,0.948,0.935,0.557,0.595,-0.17966561060849678,0.09945819057660588,0.625719091478188,0.855409126937773,NA
KEN.18_1,Kenya,0.232538558314886,0.670896366761504,0.601,0.948,0.956,0.582,0.608,-0.26751759693956106,-0.26566104204110325,0.0749227936502471,0.133878042189027,NA
KEN.19_1,Kenya,0.26799403113064796,0.513572830412083,0.601,0.948,0.923,0.558,0.605,-0.25313627262399196,-0.21438999259848923,0.060570544468156,0.133835064984104,NA
KEN.20_1,Kenya,0.424581622567716,0.653189426586778,0.601,0.948,0.948,0.577,0.609,-0.2593710088263973,-0.24957872313209303,0.188355034563366,0.275197940912401,NA
KEN.21_1,Kenya,0.34426609752887205,0.568369063494913,0.601,0.948,0.923,0.558,0.605,-0.2604384181352848,-0.2869241519529758,0.153513699733632,0.276772602274998,NA
KEN.22_1,Kenya,0.557638838545327,1.24792790445375,0.601,0.948,0.956,0.582,0.608,-0.15118778045037964,-0.10688742636441004,0.166474583656226,0.228570152962683,NA
KEN.23_1,Kenya,0.358929108044389,0.976531119402142,0.601,0.948,0.956,0.582,0.608,-0.2597825007712027,-0.18394396828615728,0.11312086043682,0.181940418568357,NA
KEN.24_1,Kenya,0.09880530017331488,0.300255096376007,0.601,0.948,0.838,0.425,0.507,-0.26851928379684414,-0.211477843252759,0.0029610466604084,0.0050814984960716,NA
KEN.25_1,Kenya,0.103067820006185,0.267953784593861,0.601,0.948,0.956,0.582,0.608,-0.26896870282751545,-0.2974347110532361,0.158735444070218,0.31393328185073,NA
KEN.26_1,Kenya,0.3701201303923839,0.993483644608594,0.601,0.948,0.956,0.582,0.608,-0.2379296082093659,-0.0905821702058981,0.145857978456335,0.196444125029388,NA
KEN.27_1,Kenya,0.21945822499333495,0.468487426154367,0.601,0.948,0.935,0.557,0.595,-0.24167888015870512,0.01486463520808249,0.122640481288443,0.23778469611454,NA
KEN.28_1,Kenya,0.548110404870989,0.720158399942802,0.601,0.948,0.923,0.558,0.605,1.6324562562276783,3.5492574452319237,0.216272443685554,0.289391543454018,NA
KEN.29_1,Kenya,0.445760513473293,0.817825446269612,0.601,0.948,0.964,0.615,0.638,-0.21621720097796565,0.08362171166812991,0.143253520108379,0.21005174480212,NA
KEN.30_1,Kenya,0.764023073907015,0.851380427545433,0.601,0.948,0.963,0.65,0.675,2.452592973977796,5.5301942551257355,1,1,0.864634794042777
KEN.31_1,Kenya,0.564101390898363,0.818003524200031,0.601,0.948,0.948,0.577,0.609,-0.16970748213427753,-0.02783266655316497,0.512404002012143,0.653137601675526,NA
KEN.32_1,Kenya,0.364414537448415,0.761501796191735,0.601,0.948,0.948,0.577,0.609,-0.2449865425080676,0.04395831241973731,0.3606835190184,0.548701322458859,NA
KEN.33_1,Kenya,0.269235060691778,0.533412819316224,0.601,0.948,0.948,0.577,0.609,-0.26464415835728633,-0.23909236662222272,0.139183822177651,0.257184800955224,NA
KEN.34_1,Kenya,0.212060875670409,0.618579235460532,0.601,0.948,0.935,0.557,0.595,-0.21492620889073907,0.4339556664179512,0.0769140438927267,0.137707724625276,NA
KEN.35_1,Kenya,0.408009831007574,0.781293796867489,0.601,0.948,0.964,0.615,0.638,-0.2392763096871512,-0.11233474431656087,0.0890204887853535,0.153583053368561,NA
KEN.36_1,Kenya,0.6144986416626179,0.953621512758074,0.601,0.948,0.964,0.615,0.638,-0.2173178890628948,-0.08867243814727718,0.225765940724458,0.309232338419272,NA
KEN.37_1,Kenya,0.212428955991198,0.404292315773545,0.601,0.948,0.948,0.577,0.609,-0.26795752268278733,-0.28814536883368047,0.100682907244375,0.20551006019058,NA
KEN.38_1,Kenya,0.313637639958343,0.754145852738895,0.601,0.948,0.935,0.557,0.595,-0.24070685616993465,-0.03515902113878931,0.114143229369243,0.219441848337285,NA
KEN.39_1,Kenya,0.488805401566287,0.726649424717876,0.601,0.948,0.923,0.558,0.605,-0.2643512724322499,-0.28168113770541564,0.148370452597669,0.21833098992,NA
KEN.40_1,Kenya,0.134638032852465,0.6189863517673,0.601,0.948,0.923,0.558,0.605,-0.2686584476367368,-0.29275757081826376,0.0724923221150157,0.188725551633126,NA
KEN.41_1,Kenya,0.369847551185526,0.832993742398372,0.601,0.948,0.956,0.582,0.608,-0.2580606184909091,-0.1657549574689531,0.240872438610312,0.337186512853836,NA
KEN.42_1,Kenya,0.440610655745043,0.802072401248523,0.601,0.948,0.948,0.577,0.609,-0.22402637591872496,0.11674760728142423,0.191564459287002,0.296721254137981,NA
KEN.43_1,Kenya,0.128947853661602,0.680087049803243,0.601,0.948,0.948,0.577,0.609,-0.2685975762103185,-0.28486034723449966,0.207108332054335,0.402434687856924,NA
KEN.44_1,Kenya,0.612310474791263,0.800061051834869,0.601,0.948,0.948,0.577,0.609,-0.2012351205063479,0.03893662354129969,0.628831732531789,0.785726748230977,NA
KEN.45_1,Kenya,0.313834480188129,0.731569446121344,0.601,0.948,0.945,0.566,0.599,-0.1777677207701076,0.8092367254438835,0.0995509385140318,0.182567799282966,NA
KEN.46_1,Kenya,0.217891642147213,0.42138126710628,0.601,0.948,0.838,0.425,0.507,-0.26900522731718446,-0.2745514507207324,0.0693047580083211,0.141097270783566,NA
KEN.47_1,Kenya,0.158273373172032,0.39688527511895,0.601,0.948,0.948,0.577,0.609,-0.26504211585110904,-0.23030207843975803,0.0854587611937128,0.170850410812643,NA
KHM.1_1,Cambodia,0.710265546581471,0.861920565421603,0.596,0.935,0.925,0.575,0.622,-0.2503074244958959,-0.16753096291984798,0.443978880259367,0.664563628195732,0.763755773092299
KHM.2_1,Cambodia,0.639049985970869,0.813202461548615,0.596,0.935,0.956,0.605,0.633,-0.2601549738251501,-0.16216422825045845,0.262207939112078,0.354240286830576,0.77166067758193
KHM.3_1,Cambodia,0.624526878441549,1.71243865279214,0.596,0.935,0.938,0.549,0.585,-0.2550124708213183,-0.1220292643979422,0.279773523318711,0.420466543293843,0.738457882026085
KHM.4_1,Cambodia,0.675051661345189,0.943779341961962,0.596,0.935,0.928,0.554,0.596,-0.2596574823814635,-0.2136169402378071,0.260357503176054,0.422698480984472,0.709259521140255
KHM.5_1,Cambodia,0.640497876249576,0.824057654151784,0.596,0.935,0.905,0.555,0.614,-0.2501891965464952,-0.19067495450712357,0.310025508974033,0.51107766881057,0.68391578824818
KHM.6_1,Cambodia,0.719068603782248,0.868546277602941,0.596,0.935,0.928,0.536,0.577,-0.2661974532469376,-0.25089579862661254,0.269046634070476,0.441051016104207,0.686430156106069
KHM.7_1,Cambodia,0.7574681078540471,1.01640119477497,0.596,0.935,0.937,0.578,0.616,-0.24949831333075512,-0.15938972246549984,0.275196782745694,0.436333091386091,NA
KHM.8_1,Cambodia,0.742690939913749,0.946254200272079,0.596,0.935,0.921,0.578,0.627,-0.1425894942279402,0.05936907563421519,0.403731217469366,0.579800420114164,NA
KHM.9_1,Cambodia,0.6540483569190231,0.719507779842087,0.596,0.935,0.897,0.585,0.652,-0.26582980458938094,-0.2916907844440754,0.429463827657577,0.562096605813793,0.73227176746007006
KHM.10_1,Cambodia,0.74042643795675,1.09717263607202,0.596,0.935,0.937,0.578,0.616,-0.20950812107057748,-0.04764591908043348,0.837358000018883,1,0.709090837526685
KHM.11_1,Cambodia,0.406664351841034,0.554361724884683,0.596,0.935,0.926,0.497,0.537,-0.26434073172113837,-0.26868756332133514,0.352691491566208,0.508294586386726,NA
KHM.12_1,Cambodia,0.8070911841912379,0.89864532032948,0.596,0.935,0.956,0.605,0.633,-0.25525772573244515,0.02620065510759343,0.193637285997261,0.222215702190794,0.76641497350455
KHM.13_1,Cambodia,0.803932646974058,0.945187721731983,0.596,0.935,0.937,0.578,0.616,-0.15856346903684387,-0.20503135486627205,0.634404394325895,0.954040185324371,NA
KHM.14_1,Cambodia,0.490343023670527,0.916300612312407,0.596,0.935,0.912,0.493,0.541,-0.26761448049519265,-0.29151588430855563,0.36697496467864,0.508145153229188,NA
KHM.15_1,Cambodia,0.426225569413282,0.567340594155986,0.596,0.935,0.925,0.575,0.622,-0.2654510089035279,-0.13677537422858752,0.150673037321859,0.214814606286446,NA
KHM.16_1,Cambodia,0.724653924046749,0.754863429003195,0.596,0.935,0.934,0.705,0.755,1.426903937007941,2.948159987862774,1,1,0.752537403425249
KHM.17_1,Cambodia,0.6855138852655079,1.01691054100728,0.596,0.935,0.932,0.542,0.582,-0.26499450551597087,-0.27032804155910306,0.496443133981623,0.786982293305087,NA
KHM.18_1,Cambodia,0.41152339754505,0.575849111930974,0.596,0.935,0.926,0.497,0.537,-0.2678165012649556,-0.27705795859765225,0.253178375807757,0.406297935245221,0.622066872982895
KHM.19_1,Cambodia,0.7079443181114751,0.809657982824306,0.596,0.935,0.913,0.543,0.594,-0.26277992536530714,-0.12859775462984335,0.19908414746328,0.347989656512102,0.685461725572521
KHM.20_1,Cambodia,0.27063830100935,0.445021057742673,0.596,0.935,0.912,0.493,0.541,-0.26723355099422746,-0.2812447112572123,0.429108542587745,0.661751818385245,0.613780468435955
KHM.21_1,Cambodia,0.463169286519814,0.5571950638748,0.596,0.935,0.921,0.528,0.574,-0.25831659436960785,-0.20135270707496225,0.532043851021252,0.730037385430885,NA
KHM.22_1,Cambodia,0.696775577656896,4.66494211543482,0.596,0.935,0.926,0.497,0.537,-0.26758485796003867,-0.28921941500894094,0.380399046587972,0.548287579300779,0.67615316308106
KHM.23_1,Cambodia,0.708939977981739,1.95061750556265,0.596,0.935,0.887,0.552,0.622,-0.23993861093912228,-0.15159996638605946,0.405596536700241,0.655488619252854,0.729092253419836
KHM.24_1,Cambodia,0.518253469984032,0.610275126766498,0.596,0.935,0.926,0.598,0.646,-0.2537576923350145,-0.07039398153375158,0.221841238991271,0.365030928178063,NA
KHM.25_1,Cambodia,0.48726369996552,0.962739081684029,0.596,0.935,0.938,0.549,0.585,-0.25898110005664626,-0.12985962407836665,0.165952828423207,0.270964036880283,0.679269937089558
LBR.1_1,Liberia,0.105249688975036,0.806218935889373,0.485,0.853,0.858,0.408,0.476,-0.26674003806813057,-0.24094877401685477,0.0601638435404665,0.115451429152606,0.506503148658068
LBR.2_1,Liberia,0.117046532524589,0.606895281629253,0.485,0.853,0.845,0.395,0.468,-0.2684194074279845,-0.26395103762634065,0.0384210009251553,0.0638969477441683,0.663681638773584
LBR.3_1,Liberia,0.0426019496309062,0.433060675135301,0.485,0.853,0.81,0.354,0.437,-0.2692524846064211,-0.291863726758334,0.010242053155653,0.0105010350707461,0.833281221186454
LBR.5_1,Liberia,0.112878928818875,0.475358227161137,0.485,0.853,0.838,0.383,0.456,-0.267072290716567,-0.27330898211283594,0.0626890281892177,0.106512680398746,0.608360701006065
LBR.4_1,Liberia,0.0715502831620499,0.622680068239913,0.485,0.853,0.86,0.374,0.435,-0.2682054294512672,-0.2739535080383334,0.0119308841532567,0.0331508723966313,0.337695818149743
LBR.6_1,Liberia,0.160723548401238,0.827141673077384,0.485,0.853,0.84,0.421,0.501,-0.26905607461161146,-0.2877874443380576,0.0345641858727706,0.0555150986038105,0.588459556533441
LBR.7_1,Liberia,0.0549426493891926,0.369115133411596,0.485,0.853,0.798,0.376,0.471,-0.2692524846064211,-0.2873515380831654,0.01814269489994,0.0245289673954051,0.764293066719014
LBR.8_1,Liberia,0.0380583553430153,0.286203298306548,0.485,0.853,0.833,0.39,0.468,-0.2691644453710836,-0.2742667528371625,0.0140069007518186,0.0294148315165615,0.56204557863521
LBR.9_1,Liberia,0.179604464390838,0.425505448884137,0.485,0.853,0.842,0.435,0.517,-0.2545063075592587,-0.2061740149845405,0.0295192397056914,0.0476390930234086,0.588411508312205
LBR.10_1,Liberia,0.180973286613101,0.662459048831048,0.485,0.853,0.866,0.432,0.499,-0.26700088964998325,-0.2337821563788401,0.0793914962781021,0.109297110470858,0.671125439766488
LBR.11_1,Liberia,0.409419962879978,0.644250946353484,0.485,0.853,0.901,0.52,0.577,-0.20359027182385797,0.3812005026356991,0.452739746068987,0.619495313338727,0.712689945551825
LBR.12_1,Liberia,0.057190460744528,0.590156085123897,0.485,0.853,0.87,0.446,0.512,-0.2681142723546593,-0.26113403216630143,0.0157035529011966,0.0340825077316383,0.498841714377669
LBR.14_1,Liberia,0.0789029609289068,0.484812937473779,0.485,0.853,0.832,0.407,0.489,-0.26875581943571925,-0.2875252442714045,0.0300051536711798,0.0487976094373388,0.596056586270988
LBR.13_1,Liberia,0.0454857034522881,0.449728482072802,0.485,0.853,0.82,0.386,0.47,-0.2692524846064211,-0.28663466603337895,0.0123250734245502,0.0161770543269404,NA
LBR.15_1,Liberia,0.130649834597876,0.466431028750912,0.485,0.853,0.817,0.403,0.493,-0.2691405971024196,-0.290590493018773,0.0305031742761929,0.0489170771757876,0.546146821707919
LSO.1_1,Lesotho,0.8572573872643341,1.21700207292551,0.521,0.999,1.006,0.55,0.546,-0.2307642437972655,-0.18042917966193353,0.187777698392492,0.161488774055099,1.21849995328552
LSO.2_1,Lesotho,0.7851288723011101,1.12498242903036,0.521,0.999,1,0.527,0.527,-0.25364855680239434,-0.2502277953304105,0.135566447639835,0.119586932246408,1.11886473113842
LSO.3_1,Lesotho,0.765705983774986,1.08841534962075,0.521,0.999,0.983,0.515,0.524,-0.24526077110912411,-0.2177301262972956,0.252277209238448,0.210157528546611,1.2389247829944
LSO.4_1,Lesotho,0.745677742090341,1.08765431521423,0.521,0.999,1.005,0.501,0.499,-0.2589633155328868,-0.24510198667860428,0.175041577497658,0.143002966409959,1.20846109013807
LSO.5_1,Lesotho,0.86199922262375,1.11877577802887,0.521,0.999,0.981,0.55,0.561,-0.21081841542535304,-0.19870088856020923,1,1,1.1632128068539
LSO.6_1,Lesotho,0.7749709659984729,1.2666258232221,0.521,0.999,1.003,0.51,0.509,-0.26506626202332395,-0.2619762308354527,0.229286774451488,0.180108203654912,NA
LSO.7_1,Lesotho,0.713703537018226,1.36849597053582,0.521,0.999,1.044,0.46,0.441,-0.2620950296293093,-0.27816448673405525,0.19964072215056,0.196632314815007,1.01863518769392
LSO.8_1,Lesotho,0.686918505830418,1.10248560936847,0.521,0.999,1,0.484,0.484,-0.2666359015309619,-0.2739356862166799,0.270453569326626,0.23999413897543,NA
LSO.9_1,Lesotho,0.810505578371105,1.31317670279226,0.521,0.999,1.001,0.464,0.464,-0.2669386793218856,-0.26704497302131636,0.116615537457622,0.10007454368042,1.19999014118274
LSO.10_1,Lesotho,0.567288218386325,1.29415495679682,0.521,0.999,1.054,0.453,0.429,-0.26727951131947186,-0.27917914125334936,0.111930601088239,0.0858080323026408,1.27542728028043
MDG.1_1,Madagascar,0.201353032646736,0.738959521687918,0.484,0.945,0.962247871836866,0.556765374377375,0.57682013305333,-0.26393146489017183,-0.187055327767087,0.366181422984129,0.510497036777823,NA
MDG.2_1,Madagascar,0.1855818248471,0.887924487127411,0.484,0.945,0.955,0.509,0.533,-0.267722048537922,-0.26081451418861845,0.0982282921288244,0.12182519173482,0.826701402980396
MDG.3_1,Madagascar,0.0740377759417832,0.786071858558157,0.484,0.945,0.93710605073505,0.439207631294845,0.468401718519818,-0.26894363437721774,-0.2524937353695539,0.0193050606396925,0.0281434102475055,0.754392817263685
MDG.4_1,Madagascar,0.0892416982766685,0.833123455228711,0.484,0.945,0.951694394184255,0.48546781950108,0.510144220310964,-0.2688429924548791,-0.2803740639930147,0.0333970521243674,0.047035942825162,NA
MDG.5_1,Madagascar,0.14209549605795002,0.723886708754915,0.484,0.945,0.950485547966413,0.508314279845889,0.535022083697093,-0.2669436562729864,-0.25761607587316654,0.0117867849307608,0.0149690745162318,0.804300285805932
MDG.6_1,Madagascar,0.0704973335766706,0.654929445729212,0.484,0.945,0.963252426694179,0.403139880278061,0.419128935387111,-0.2687477835871091,-0.2775019585388327,0.0232112073114384,0.0336081364939508,NA
MLI.1_1,Mali,0.406418461257754,0.488909954702457,0.417,0.767,0.87,0.559,0.642,2.8059584123826884,9.996861698205404,0.40936449157442,1,0.335177710262098
MLI.2_1,Mali,0.051869593310057,0.304507834200462,0.417,0.767,0.812,0.343,0.422,-0.269051616873248,-0.29753034987336013,0.0203764346315449,0.0773182624029568,0.280723365428674
MLI.3_1,Mali,0.149304613028619,0.336598926015414,0.417,0.767,0.744,0.328,0.441,-0.2667710211103783,-0.28216637563342734,0.0096397088120445,0.0440072945085814,0.245404934113048
MLI.4_1,Mali,0.117901504487814,0.581552745175746,0.417,0.767,0.812,0.343,0.422,-0.2691925501502551,-0.30086836446311455,0.0129922420042374,0.0145771861627196,0.781736159355375
MLI.5_1,Mali,0.123252752712774,0.360282677666356,0.417,0.767,0.832,0.383,0.46,-0.26156580758627956,-0.26397012383639723,0.0125833448892085,0.0535657326911878,0.255264627378932
MLI.6_1,Mali,0.0375059838506418,0.206107073393292,0.417,0.767,0.837,0.313,0.374,-0.26839836443706305,-0.2727541483946279,0.003858075380295,0.0178232522740708,0.240330815244893
MLI.7_1,Mali,0.0692380243339611,0.32826026299149,0.417,0.767,0.811,0.332,0.409,-0.266477365388813,-0.2577128681668285,0.008243006272255,0.0340638692878006,0.265410690435364
MLI.8_1,Mali,0.0400403266917239,0.241925534298545,0.417,0.767,0.804,0.355,0.441,-0.26585282045214625,-0.25624228212343175,0.0102399659037629,0.051287521653821,0.221150122825425
MLI.9_1,Mali,0.0729511581375283,0.305914733035013,0.417,0.767,0.786,0.285,0.362,-0.26917940057315154,-0.2998448875188813,0.0382705312207266,0.1211538040932869,NA
MOZ.1_1,Mozambique,0.0751331803570489,0.290416497895031,0.461,0.929,0.91,0.403,0.443,-0.2664315656166713,-0.2772316357047679,0.0659343610142979,0.135994971383561,0.518082741201811
MOZ.2_1,Mozambique,0.436331061425335,0.625658580740024,0.461,0.929,0.955,0.494,0.517,-0.26564107061305037,-0.2840269999188123,0.113671419451224,0.185778514383666,0.879942150565847
MOZ.3_1,Mozambique,0.500783526312405,1.09273504431414,0.461,0.929,0.972,0.506,0.52,-0.2669556327931329,-0.2828068772450097,0.0838650713359413,0.158711766756542,0.778684483617321
MOZ.4_1,Mozambique,0.176414226991287,0.414026847986172,0.461,0.929,0.897,0.452,0.504,-0.26622599599907404,-0.2689153394586451,0.120214603354129,0.214372693346977,0.629758620472316
MOZ.6_1,Mozambique,0.5161411710034209,0.850477046289709,0.461,0.929,0.967,0.582,0.602,-0.23025980974869584,-0.2700156034547675,1,1,0.900394827522555
MOZ.5_1,Mozambique,0.649565347269458,0.81841095357251,0.461,0.929,0.972,0.629,0.647,2.1218159330179116,2.804120149078816,0.995410286894711,1,NA
MOZ.7_1,Mozambique,0.0412976102886222,0.230382950237635,0.461,0.929,0.93,0.428,0.46,-0.2621221289641835,-0.23534285701981847,0.0649951557774092,0.117592802872165,0.554640099068897
MOZ.8_1,Mozambique,0.047810672438025593,0.173763724140055,0.461,0.929,0.926,0.401,0.433,-0.26841702205366713,-0.28690507556109246,0.0746391260491249,0.143822887828839,NA
MOZ.9_1,Mozambique,0.176265436993772,0.379723995622205,0.461,0.929,0.885,0.459,0.518,-0.2613506001005347,-0.271971687085405,0.134855438114398,0.2503245970023,0.578162318833362
MOZ.10_1,Mozambique,0.108249249484876,0.788286493139115,0.461,0.929,0.927,0.402,0.434,-0.2632075795257285,-0.2713975648203509,0.0556738604298074,0.100621779708907,0.586652478261009
MOZ.11_1,Mozambique,0.0719282413492778,0.587238854466264,0.461,0.929,0.903,0.373,0.413,-0.2673261277080022,-0.25318353228490403,0.034602331944505,0.059584040609435,0.636129584311786
